Key,ES,FR,PT,SW,English,Key
lists.months.january,January,Janvier,Janeiro,Januari,January,lists.months.january
lists.months.february,Febrero,Février,Fevereiro,Februari,February,lists.months.february
lists.months.march,Marzo,mars,Março,Machi,March,lists.months.march
lists.months.april,April,Avril,Abril,Aprili ,April,lists.months.april
lists.months.may,Mayo,Mai,Maio,Mei,May,lists.months.may
lists.months.june,Junio,Juin,Junho,Juni,June,lists.months.june
lists.months.july,Julio,Juillet,Julho,Julai,July,lists.months.july
lists.months.august,August,Août,Agosto,Agosti,August,lists.months.august
lists.months.september,Septiembre,Septembre,Setembro,Septemba,September,lists.months.september
lists.months.october,Octubre,Octobre,Outubro,Oktoba ,October,lists.months.october
lists.months.november,Noviembre,Novembre,Novembro,Novemba,November,lists.months.november
lists.months.december,Diciembre,décembre,Dezembro,Disemba,December,lists.months.december
